id_conteudo,nome_conteudo,id_usuario,timestamp_interacao,plataforma,tipo_interacao,watch_duration_seconds,comment_text
3,Podcast Papo de Segunda,220,2024-11-01 10:05:00,Globoplay,comment,,Esse tema me fez refletir muito.
6,The Voice Brasil,221,2024-11-06 22:30:00,Globoplay,view_start,3200,
4,Jogo do Brasileirão Série A,223,2024-11-02 16:00:00,Premiere,view_start,7200,
4,Jogo do Brasileirão Série A,224,2024-11-02 17:30:00,GE Globo,comment,,Meu time ganhou! Uhul!
12,Futebol de Sabado,225,2024-11-03 16:30:00,Sportv Play,like,,
7,Podcast GE Tabelando,226,2024-11-02 11:00:00,GE Globo,comment,,Não concordo com a escalação ideal.
6,The Voice Brasil,227,2024-11-07 22:30:00,Globoplay,view_start,3100,
1,Jornal Nacional,228,2024-10-26 20:05:12,TV Globo,view_start,1800,
2,Novela Renascer,229,2024-10-26 21:15:30,Globoplay,view_start,2700,
3,Podcast Papo de Segunda,230,2024-10-27 10:00:00,Globoplay,view_start,3600,
3,Podcast Papo de Segunda,231,2024-10-27 10:05:00,Globoplay,comment,,Excelente ponto de vista.
4,Jogo do Brasileirão Série A,232,2024-10-27 16:00:00,Premiere,view_start,7200,
5,Mais Você,233,2024-10-28 09:30:00,TV Globo,view_start,1200,
6,The Voice Brasil,234,2024-10-28 22:30:00,Globoplay,view_start,3000,
6,The Voice Brasil,235,2024-10-28 22:35:00,Globoplay,like,,
7,Podcast GE Tabelando,236,2024-10-29 11:00:00,GE Globo,view_start,2400,
7,Podcast GE Tabelando,237,2024-10-29 11:05:00,GE Globo,comment,,Esse podcast é essencial.
8,Sessão da Tarde Clássicos,238,2024-10-30 15:00:00,TV Globo,view_start,5400,
10,Documentário Amazônia Viva,239,2024-10-31 22:00:00,Globoplay,view_start,3300,
12,Futebol de Sabado,241,2024-11-01 16:30:00,Sportv Play,view_start,7000,
13,Desenrola Brasil Podcast,242,2024-11-02 08:00:00,G1,comment,,Aprendi muito!
14,Globo Repórter Especial,243,2024-11-02 23:00:00,TV Globo,view_start,3600,
15,Domingão com Huck,244,2024-11-03 18:00:00,TV Globo,view_start,7200,
6,The Voice Brasil,245,2024-11-04 22:30:00,Globoplay,view_start,3100,
1,Jornal Nacional,247,2024-10-27 20:03:00,TV Globo,view_start,1850,
2,Novela Renascer,248,2024-10-27 21:10:15,Globoplay,share,,
3,Podcast Papo de Segunda,249,2024-10-28 10:02:30,Globoplay,comment,,Poderiam trazer o fulano para debater.
4,Jogo do Brasileirão Série A,250,2024-10-28 16:05:50,Premiere,like,,
6,The Voice Brasil,251,2024-10-29 22:33:00,Globoplay,view_start,3500,
7,Podcast GE Tabelando,252,2024-10-30 11:02:00,GE Globo,comment,,Informação de qualidade.
6,The Voice Brasil,253,2024-11-08 22:30:00,TV Globo,view_start,2980,
6,The Voice Brasil,254,2024-11-08 22:33:00,Globoplay,like,,
7,Podcast GE Tabelando,255,2024-11-03 11:00:00,Spotify,view_start,2480,
7,Podcast GE Tabelando,256,2024-11-03 11:04:00,GE Globo,comment,,Os melhores comentaristas estão aqui.
3,Podcast Papo de Segunda,257,2024-11-04 10:15:00,G1,share,,
6,The Voice Brasil,258,2024-11-09 22:30:00,Globoplay,view_start,3600,
6,The Voice Brasil,259,2024-11-09 22:36:00,Globoplay,comment,,Arrasou na performance!
4,Jogo do Brasileirão Série A,260,2024-11-03 16:10:00,Premiere,comment,,Foi pênalti claro!
12,Futebol de Sabado,261,2024-11-04 16:30:00,Sportv Play,view_start,6950,
12,Futebol de Sabado,262,2024-11-04 17:05:00,Sportv Play,comment,,Que defesaça do goleiro!
6,The Voice Brasil,263,2024-11-10 22:30:00,TV Globo,view_start,3050,
7,Podcast GE Tabelando,264,2024-11-05 11:00:00,GE Globo,view_start,2520,
7,Podcast GE Tabelando,265,2024-11-05 11:06:00,Spotify,comment,,Podcast indispensável para quem ama futebol.
3,Podcast Papo de Segunda,266,2024-11-06 10:00:00,Globoplay,view_start,3450,
3,Podcast Papo de Segunda,267,2024-11-06 10:07:00,Globoplay,comment,,Assunto super relevante para os dias atuais.
6,The Voice Brasil,268,2024-11-11 22:30:00,Globoplay,view_start,3250,
4,Jogo do Brasileirão Série A,270,2024-11-05 16:00:00,Premiere,view_start,7250,
4,Jogo do Brasileirão Série A,271,2024-11-05 17:35:00,GE Globo,comment,,Esse técnico precisa ser demitido!
7,Podcast GE Tabelando,272,2024-11-06 11:00:00,GE Globo,comment,,Só verdades foram ditas.
6,The Voice Brasil,273,2024-11-12 22:30:00,Globoplay,view_start,3150,
1,Jornal Nacional,274,2024-10-28 20:05:12,TV Globo,view_start,1800,
2,Novela Renascer,275,2024-10-28 21:15:30,Globoplay,view_start,2700,
3,Podcast Papo de Segunda,276,2024-10-29 10:00:00,Globoplay,view_start,3600,
3,Podcast Papo de Segunda,277,2024-10-29 10:05:00,Globoplay,comment,,Convidem mais especialistas no assunto.
4,Jogo do Brasileirão Série A,278,2024-10-29 16:00:00,Premiere,view_start,7200,
5,Mais Você,279,2024-10-30 09:30:00,TV Globo,view_start,1200,
6,The Voice Brasil,280,2024-10-30 22:30:00,Globoplay,view_start,3000,
6,The Voice Brasil,281,2024-10-30 22:35:00,Globoplay,like,,
7,Podcast GE Tabelando,282,2024-10-31 11:00:00,GE Globo,view_start,2400,
7,Podcast GE Tabelando,283,2024-10-31 11:05:00,GE Globo,comment,,Acompanho toda semana.
8,Sessão da Tarde Clássicos,284,2024-11-01 15:00:00,TV Globo,view_start,5400,
10,Documentário Amazônia Viva,285,2024-11-02 22:00:00,Globoplay,view_start,3300,
12,Futebol de Sabado,287,2024-11-03 16:30:00,Sportv Play,view_start,7000,
13,Desenrola Brasil Podcast,288,2024-11-04 08:00:00,G1,comment,,Muito útil, obrigado!
14,Globo Repórter Especial,289,2024-11-04 23:00:00,TV Globo,view_start,3600,
15,Domingão com Huck,290,2024-11-05 18:00:00,TV Globo,view_start,7200,
6,The Voice Brasil,291,2024-11-06 22:30:00,Globoplay,view_start,3100,
1,Jornal Nacional,293,2024-10-29 20:03:00,TV Globo,view_start,1850,
2,Novela Renascer,294,2024-10-29 21:10:15,Globoplay,share,,
3,Podcast Papo de Segunda,295,2024-10-30 10:02:30,Globoplay,comment,,Sempre com temas pertinentes.
4,Jogo do Brasileirão Série A,296,2024-10-30 16:05:50,Premiere,like,,
6,The Voice Brasil,297,2024-10-31 22:33:00,Globoplay,view_start,3500,
7,Podcast GE Tabelando,298,2024-11-01 11:02:00,GE Globo,comment,,Melhor análise esportiva da internet.
6,The Voice Brasil,299,2024-11-13 22:30:00,TV Globo,view_start,2980,
6,The Voice Brasil,300,2024-11-13 22:33:00,Globoplay,like,,
